Locus_name,Model,Run_time
UCE-4009,Mixture,620.1298
UCE-5387,Single,1486.219359
UCE-5387,Mixture,901.7026
UCE-6329,Single,327.384694
UCE-6329,Mixture,525.5922
UCE-2320,Single,28.630901
UCE-2320,Mixture,222.8227
UCE-4320,Single,182.648335
UCE-4320,Mixture,375.003
UCE-5593,Single,23.819013
UCE-5593,Mixture,192.8057
UCE-5190,Single,184.040648
UCE-5190,Mixture,892.3365
UCE-1982,Single,19.492539
UCE-1982,Mixture,95.88172
UCE-4616,Single,225.065642
UCE-4616,Mixture,337.4697
UCE-5521,Single,230.301517
UCE-5521,Mixture,317.0474
UCE-3445,Single,177.345496
UCE-3445,Mixture,540.4944
UCE-6765,Single,744.357671
UCE-6765,Mixture,1685.659
UCE-7336,Single,400.164913
UCE-7336,Mixture,757.6172
UCE-3494,Single,22.696157
UCE-3494,Mixture,67.71993
UCE-2291,Single,1005.032133
UCE-2291,Mixture,1957.282
UCE-3217,Single,670.462981
UCE-3217,Mixture,1525.638
UCE-1304,Single,411.650589
UCE-1304,Mixture,222.0941
UCE-5277,Single,199.698418
UCE-5277,Mixture,329.2085
UCE-5295,Single,198.437993
UCE-5295,Mixture,1532.448
UCE-7247,Single,26.255042
UCE-7247,Mixture,58.78219
UCE-1027,Single,18.963635
UCE-1027,Mixture,94.86524
UCE-1540,Single,144.726706
UCE-1540,Mixture,377.0364
UCE-5573,Single,756.621827
UCE-5573,Mixture,725.3917
UCE-7889,Single,523.497286
UCE-7889,Mixture,538.2281
UCE-6147,Single,24.605933
UCE-6147,Mixture,135.5146
UCE-3349,Single,32.342409
UCE-3349,Mixture,81.37107
UCE-3082,Single,475.466849
UCE-3082,Mixture,340.9777
UCE-6610,Single,129.688878
UCE-6610,Mixture,344.2525
UCE-3734,Single,55.363094
UCE-3734,Mixture,405.6775
UCE-3497,Single,6.415768
UCE-3497,Mixture,41.23845
UCE-7324,Single,2031.897403
UCE-7324,Mixture,877.1387
UCE-850,Single,103.557382
UCE-850,Mixture,547.0863
UCE-5923,Single,241.747177
UCE-5923,Mixture,1282.093
UCE-6719,Single,24.593207
UCE-6719,Mixture,73.18298
UCE-2746,Single,446.231384
UCE-2746,Mixture,438.7926
UCE-4504,Single,779.730675
UCE-4504,Mixture,641.6687
UCE-5859,Single,29.128566
UCE-5859,Mixture,115.6759
UCE-5272,Single,771.009994
UCE-5272,Mixture,728.8036
UCE-3810,Single,12.727427
UCE-3810,Mixture,62.59592
UCE-6258,Single,19.102039
UCE-6258,Mixture,99.68506
UCE-7219,Single,419.360832
UCE-7219,Mixture,733.0664
UCE-7829,Single,233.426527
UCE-7829,Mixture,538.9055
UCE-1230,Single,12.242887
UCE-1230,Mixture,78.67096
UCE-353,Single,38.692799
UCE-353,Mixture,302.8504
UCE-326,Single,2289.952884
UCE-326,Mixture,1298.876
UCE-88,Single,10.119067
UCE-88,Mixture,44.4777
UCE-7787,Single,10.205673
UCE-7787,Mixture,22.37459
UCE-4371,Single,19.317079
UCE-4371,Mixture,91.21458
UCE-6048,Single,317.505856
UCE-6048,Mixture,1075.949
UCE-3543,Single,436.418951
UCE-3543,Mixture,712.7748
UCE-6658,Single,180.233239
UCE-6658,Mixture,597.6379
UCE-3157,Single,128.94238
UCE-3157,Mixture,260.718
UCE-4217,Single,1489.439409
UCE-4217,Mixture,730.095
UCE-6933,Single,244.157533
UCE-6933,Mixture,609.6785
UCE-2035,Single,629.365515
UCE-2035,Mixture,718.1063
UCE-1594,Single,355.383982
UCE-1594,Mixture,136.696
UCE-7096,Single,15.016466
UCE-7096,Mixture,45.18356
UCE-4580,Single,227.898493
UCE-4580,Mixture,253.447
UCE-2901,Single,17.364795
UCE-2901,Mixture,59.96557
UCE-4189,Single,9.372577
UCE-4189,Mixture,19.50611
UCE-3186,Single,162.522707
UCE-3186,Mixture,416.2167
UCE-5397,Single,10.132983
UCE-5397,Mixture,36.75366
UCE-7832,Single,28.265762
UCE-7832,Mixture,54.40614
UCE-7383,Single,2045.526689
UCE-7383,Mixture,644.0127
UCE-2073,Single,14.323815
UCE-2073,Mixture,77.96048
UCE-833,Single,8.976671
UCE-833,Mixture,42.99399
UCE-6584,Single,126.863662
UCE-6584,Mixture,343.9649
UCE-4339,Single,165.198018
UCE-4339,Mixture,620.583
UCE-3224,Single,419.966276
UCE-3224,Mixture,710.8633
UCE-2201,Single,351.440829
UCE-2201,Mixture,1054.52
UCE-7978,Single,740.057019
UCE-7978,Mixture,773.3597
UCE-5280,Single,436.884508
UCE-5280,Mixture,380.6386
UCE-3446,Single,158.596625
UCE-3446,Mixture,430.2148
UCE-1648,Single,933.901338
UCE-1648,Mixture,1275.036
UCE-2157,Single,133.470131
UCE-2157,Mixture,337.0933
UCE-1206,Single,248.25764
UCE-1206,Mixture,518.5902
UCE-7941,Single,502.082734
UCE-7941,Mixture,736.5015
UCE-7320,Single,918.14954
UCE-7320,Mixture,1224.498
UCE-3026,Single,7.339399
UCE-3026,Mixture,34.2227
UCE-6195,Single,446.886059
UCE-6195,Mixture,1354.72
UCE-36,Single,166.146127
UCE-36,Mixture,67.11973
UCE-3823,Single,457.182068
UCE-3823,Mixture,1081.164
UCE-2980,Single,297.057535
UCE-2980,Mixture,651.6584
UCE-25,Single,1306.831404
UCE-25,Mixture,2802.725
UCE-338,Single,666.480798
UCE-338,Mixture,818.58
UCE-4500,Single,1299.088726
UCE-4500,Mixture,480.2118
UCE-614,Single,2344.11789
UCE-614,Mixture,1235.822
UCE-932,Single,8.096831
UCE-932,Mixture,55.72508
UCE-6444,Single,7.061785
UCE-6444,Mixture,20.10725
UCE-1360,Single,125.592696
UCE-1360,Mixture,482.2753
UCE-915,Single,759.361413
UCE-915,Mixture,867.209
UCE-5228,Single,38.260692
UCE-5228,Mixture,166.1647
UCE-1977,Single,31.002661
UCE-1977,Mixture,94.32019
UCE-7190,Single,507.872198
UCE-7190,Mixture,991.5835
UCE-3959,Single,12.127642
UCE-3959,Mixture,86.59076
UCE-5135,Single,923.487851
UCE-5135,Mixture,793.4214
UCE-5702,Single,43.695636
UCE-5702,Mixture,107.6385
UCE-3824,Single,150.893135
UCE-3824,Mixture,709.8668
UCE-1392,Single,37.932852
UCE-1392,Mixture,85.76256
UCE-1808,Single,657.305847
UCE-1808,Mixture,378.4652
UCE-2267,Single,30.538185
UCE-2267,Mixture,116.1897
UCE-3406,Single,9.822653
UCE-3406,Mixture,26.42936
UCE-7898,Single,20.142749
UCE-7898,Mixture,114.1033
UCE-3532,Single,24.346244
UCE-3532,Mixture,104.319
UCE-3239,Single,6.928904
UCE-3239,Mixture,29.03682
