Locus_name,Model,Run_time
UCE-6933,Mixture,28.91976
UCE-2035,Single,90.958314
UCE-2035,Mixture,44.11545
UCE-1594,Single,34.026029
UCE-1594,Mixture,6.305115
UCE-7096,Single,9.192378
UCE-7096,Mixture,31.79557
UCE-4580,Single,34.378754
UCE-4580,Mixture,50.31999
UCE-2901,Single,10.656091
UCE-2901,Mixture,41.38962
UCE-4189,Single,7.985172
UCE-4189,Mixture,24.68206
UCE-3186,Single,91.934577
UCE-3186,Mixture,177.2367
UCE-5397,Single,8.815018
UCE-5397,Mixture,53.71866
UCE-7832,Single,38.057181
UCE-7832,Mixture,43.35946
UCE-7383,Single,821.322382
UCE-7383,Mixture,1053.028
UCE-2073,Single,5.132351
UCE-2073,Mixture,32.82594
UCE-833,Single,6.559524
UCE-833,Mixture,31.39551
UCE-6584,Single,68.883712
UCE-6584,Mixture,53.81965
UCE-4339,Single,41.701514
UCE-4339,Mixture,56.05222
UCE-3224,Single,471.32064
UCE-3224,Mixture,486.7457
UCE-2201,Single,23.936658
UCE-2201,Mixture,39.73398
UCE-7978,Single,93.351148
UCE-7978,Mixture,71.07961
UCE-5280,Single,19.395436
UCE-5280,Mixture,64.20227
UCE-3446,Single,69.797296
UCE-3446,Mixture,177.108
UCE-1648,Single,50.85316
UCE-1648,Mixture,87.25913
UCE-2157,Single,7.681052
UCE-2157,Mixture,17.5091
UCE-1206,Single,37.243135
UCE-1206,Mixture,64.84197
UCE-7941,Single,171.963156
UCE-7941,Mixture,25.01662
UCE-7320,Single,34.038511
UCE-7320,Mixture,54.24805
UCE-3026,Single,4.113239
UCE-3026,Mixture,19.67139
UCE-6195,Single,717.996281
UCE-6195,Mixture,845.1486
UCE-36,Single,117.430552
UCE-36,Mixture,14.19993
UCE-3823,Single,307.476656
UCE-3823,Mixture,94.07913
UCE-2980,Single,18.281909
UCE-2980,Mixture,59.68357
UCE-25,Single,253.230816
UCE-25,Mixture,393.2806
UCE-338,Single,54.522007
UCE-338,Mixture,68.35386
UCE-4500,Single,134.09075
UCE-4500,Mixture,82.33701
UCE-614,Single,49.496644
UCE-614,Mixture,30.52115
UCE-932,Single,6.071655
UCE-932,Mixture,37.54967
UCE-6444,Single,4.952121
UCE-6444,Mixture,16.37317
UCE-1360,Single,18.012367
UCE-1360,Mixture,46.89917
UCE-915,Single,286.962173
UCE-915,Mixture,82.11886
UCE-5228,Single,38.630049
UCE-5228,Mixture,159.8521
UCE-1977,Single,13.155789
UCE-1977,Mixture,30.32242
UCE-7190,Single,37.837951
UCE-7190,Mixture,77.19016
UCE-3959,Single,10.174356
UCE-3959,Mixture,192.3378
UCE-5135,Single,107.482644
UCE-5135,Mixture,125.9659
UCE-5702,Single,12.255869
UCE-5702,Mixture,65.456
UCE-3824,Single,12.864612
UCE-3824,Mixture,17.28414
UCE-1392,Single,19.332286
UCE-1392,Mixture,28.27318
UCE-1808,Single,15.553316
UCE-1808,Mixture,31.3141
UCE-2267,Single,10.575935
UCE-2267,Mixture,48.13367
UCE-3406,Single,8.239182
UCE-3406,Mixture,27.55731
UCE-7898,Single,13.606634
UCE-7898,Mixture,79.34445
UCE-3532,Single,22.041895
UCE-3532,Mixture,58.57042
UCE-3239,Single,7.578848
UCE-3239,Mixture,23.50944
UCE-803,Single,11.808938
UCE-803,Mixture,35.82903
UCE-5797,Single,50.527579
UCE-5797,Mixture,74.49706
UCE-33,Single,14.523071
UCE-33,Mixture,50.19194
UCE-6499,Single,96.420102
UCE-6499,Mixture,24.43729
UCE-2811,Single,10.774778
UCE-2811,Mixture,38.86839
UCE-3489,Single,15.324096
UCE-3489,Mixture,45.53089
UCE-7468,Single,41.813047
UCE-7468,Mixture,90.3475
UCE-6286,Single,16.347009
UCE-6286,Mixture,21.45951
UCE-6196,Single,21.845417
UCE-6196,Mixture,16.01658
UCE-237,Single,14.944756
UCE-237,Mixture,19.43648
UCE-2960,Single,4.036783
UCE-2960,Mixture,14.28287
UCE-7909,Single,57.649799
UCE-7909,Mixture,93.26552
UCE-4024,Single,19.001116
UCE-4024,Mixture,32.34946
UCE-2112,Single,250.081008
UCE-2112,Mixture,285.0491
UCE-1427,Single,506.694206
UCE-1427,Mixture,126.0998
UCE-5970,Single,20.440384
UCE-5970,Mixture,73.80951
UCE-3443,Single,7.658297
UCE-3443,Mixture,32.54261
UCE-4778,Single,12.83714
UCE-4778,Mixture,175.1854
UCE-3970,Single,23.636018
UCE-3970,Mixture,244.5559
UCE-6138,Single,38.955879
UCE-6138,Mixture,59.89445
UCE-3225,Single,93.420337
UCE-3225,Mixture,629.4797
UCE-6532,Single,75.134522
UCE-6532,Mixture,130.6556
UCE-3313,Single,24.384946
UCE-3313,Mixture,147.1357
UCE-6524,Single,41.879
UCE-6524,Mixture,87.55756
UCE-7146,Single,11.660602
UCE-7146,Mixture,59.65036
UCE-195,Single,17.063819
UCE-195,Mixture,71.07037
UCE-1323,Single,18.072605
UCE-1323,Mixture,63.15347
UCE-7019,Single,55.52845
UCE-7019,Mixture,17.64336
UCE-7740,Single,14.463362
UCE-7740,Mixture,25.45858
UCE-2600,Single,85.139718
UCE-2600,Mixture,158.27
UCE-3703,Single,73.460483
UCE-3703,Mixture,70.01012
UCE-2131,Single,65.725773
UCE-2131,Mixture,36.99387
UCE-2079,Single,38.204754
UCE-2079,Mixture,59.74323
UCE-7277,Single,25.625743
UCE-7277,Mixture,131.3137
UCE-3222,Single,11.077764
UCE-3222,Mixture,37.33826
UCE-7682,Single,13.067803
UCE-7682,Mixture,206.444
UCE-1723,Single,51.240741
UCE-1723,Mixture,112.4032
UCE-1828,Single,4.69296
UCE-1828,Mixture,24.7412
UCE-3449,Single,63.380934
UCE-3449,Mixture,48.04109
UCE-248,Single,18.982381
UCE-248,Mixture,31.80709
UCE-6316,Single,259.128595
UCE-6316,Mixture,171.054
UCE-2235,Single,21.006861
UCE-2235,Mixture,39.47237
UCE-3655,Single,50.254708
UCE-3655,Mixture,47.6141
UCE-3538,Single,318.072263
UCE-3538,Mixture,320.5082
UCE-690,Single,7.484207
UCE-690,Mixture,66.81151
UCE-7348,Single,8.81888
UCE-7348,Mixture,82.89275
UCE-3688,Single,13.005901
UCE-3688,Mixture,61.13564
UCE-2681,Single,2.980368
UCE-2681,Mixture,11.98666
UCE-1602,Single,223.911869
UCE-1602,Mixture,86.83339
UCE-4408,Single,18.680491
UCE-4408,Mixture,72.54917
UCE-4640,Single,64.509796
UCE-4640,Mixture,79.50384
UCE-2288,Single,4.970052
UCE-2288,Mixture,25.04325
UCE-3568,Single,78.612091
UCE-3568,Mixture,53.58532
UCE-5327,Single,119.309224
UCE-5327,Mixture,33.35879
UCE-4486,Single,174.800532
UCE-4486,Mixture,197.7691
UCE-4472,Single,170.554555
UCE-4472,Mixture,58.55701
UCE-6902,Single,10.568659
UCE-6902,Mixture,68.5545
UCE-1769,Single,28.957451
UCE-1769,Mixture,21.67573
UCE-7679,Single,8.625672
UCE-7679,Mixture,45.83179
UCE-3613,Single,16.219097
UCE-3613,Mixture,42.20554
UCE-7797,Single,10.939355
UCE-7797,Mixture,49.67412
UCE-7884,Single,30.967185
UCE-7884,Mixture,33.36944
UCE-4831,Single,64.714762
UCE-4831,Mixture,78.21823
UCE-7399,Single,212.102788
UCE-7399,Mixture,112.6091
UCE-2733,Single,12.299245
UCE-2733,Mixture,36.63696
UCE-4530,Single,77.553677
UCE-4530,Mixture,20.00142
UCE-3637,Single,24.477403
UCE-3637,Mixture,70.3227
UCE-6311,Single,113.899036
UCE-6311,Mixture,86.3319
UCE-7510,Single,59.294485
UCE-7510,Mixture,127.9838
UCE-5734,Single,22.600706
UCE-5734,Mixture,70.96877
UCE-3072,Single,12.241841
UCE-3072,Mixture,37.37216
UCE-6063,Single,16.555343
UCE-6063,Mixture,89.19072
UCE-3319,Single,9.598594
UCE-3319,Mixture,28.28191
UCE-5677,Single,5.467617
UCE-5677,Mixture,12.94682
UCE-3244,Single,107.971272
UCE-3244,Mixture,143.8356
UCE-7452,Single,12.485469
UCE-7452,Mixture,49.79976
UCE-3761,Single,275.02519
UCE-3761,Mixture,87.27384
UCE-761,Single,7.546314
UCE-761,Mixture,23.91311
UCE-6896,Single,47.208021
UCE-6896,Mixture,97.50442
UCE-1467,Single,13.759704
UCE-1467,Mixture,35.3636
UCE-3957,Single,130.587541
UCE-3957,Mixture,72.19472
UCE-6194,Single,195.175264
UCE-6194,Mixture,216.3843
UCE-556,Single,50.689904
UCE-556,Mixture,74.59639
UCE-6032,Single,21.739294
UCE-6032,Mixture,13.77378
UCE-4699,Single,18.140617
UCE-4699,Mixture,38.94044
UCE-868,Single,14.834541
UCE-868,Mixture,14.79405
UCE-7890,Single,21.492956
UCE-7890,Mixture,102.4304
UCE-3670,Single,11.541382
UCE-3670,Mixture,19.89065
UCE-2833,Single,20.411011
UCE-2833,Mixture,64.38345
UCE-5110,Single,26.727446
UCE-5110,Mixture,98.1706
UCE-1743,Single,144.919661
UCE-1743,Mixture,63.58752
UCE-1216,Single,118.743808
UCE-1216,Mixture,25.08041
UCE-5978,Single,217.113792
UCE-5978,Mixture,258.4608
UCE-867,Single,58.601544
UCE-867,Mixture,11.38223
UCE-853,Single,33.665259
UCE-853,Mixture,125.3109
UCE-2560,Single,6.868134
UCE-2560,Mixture,30.76426
UCE-4593,Single,10.410497
UCE-4593,Mixture,34.66061
UCE-3527,Single,86.203652
UCE-3527,Mixture,62.7883
UCE-999,Single,54.448991
UCE-999,Mixture,62.64602
UCE-6742,Single,12.21596
UCE-6742,Mixture,19.5891
UCE-5447,Single,16.693506
UCE-5447,Mixture,10.63719
UCE-3294,Single,104.573065
UCE-3294,Mixture,57.7032
UCE-5763,Single,14.705353
UCE-5763,Mixture,60.81825
UCE-2114,Single,27.80454
UCE-2114,Mixture,25.41383
UCE-6564,Single,9.879635
UCE-6564,Mixture,28.64883
UCE-2920,Single,8.072269
UCE-2920,Mixture,29.74037
UCE-4403,Single,26.596258
UCE-4403,Mixture,56.50266
UCE-110,Single,7.532283
UCE-110,Mixture,35.04679
UCE-6295,Single,4.611349
UCE-6295,Mixture,15.27209
UCE-7423,Single,13.89162
UCE-7423,Mixture,64.8986
UCE-752,Single,25.302933
UCE-752,Mixture,102.8685
UCE-685,Single,158.482773
UCE-685,Mixture,118.2521
UCE-5835,Single,26.21691
UCE-5835,Mixture,58.06338
UCE-4658,Single,27.323738
UCE-4658,Mixture,65.04678
UCE-7164,Single,339.067816
UCE-7164,Mixture,402.5589
UCE-3360,Single,26.213023
UCE-3360,Mixture,41.45386
UCE-5287,Single,13.522164
UCE-5287,Mixture,23.46419
UCE-5119,Single,16.489226
UCE-5119,Mixture,47.95524
UCE-1591,Single,645.531333
UCE-1591,Mixture,246.0233
UCE-5364,Single,51.139801
UCE-5364,Mixture,79.45567
UCE-2225,Single,3.936689
UCE-2225,Mixture,48.0946
UCE-1867,Single,6.252472
UCE-1867,Mixture,32.57596
UCE-838,Single,24.359784
UCE-838,Mixture,29.39105
UCE-3520,Single,85.669638
